,,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,,,
Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attend.,Attend./G
1,Milwaukee Bucks*,26.9,50,17,51,16,9.09,-0.61,8.48,113.8,105.0,+8.8,102.7,.251,.419,.583,.551,12.2,21.1,.194,.502,11.6,80.4,.165,Fiserv Forum,559836,17495
2,Golden State Warriors,28.5,45,21,44,22,5.86,-0.03,5.83,116.0,110.3,+5.7,101.2,.241,.382,.594,.560,12.4,22.9,.194,.513,11.8,77.4,.208,Oracle Arena,666264,19596
3,Toronto Raptors*,27.2,48,19,45,22,5.55,-0.05,5.51,112.9,107.4,+5.5,100.2,.251,.372,.573,.536,12.3,23.0,.202,.512,13.3,76.8,.194,Scotiabank Arena,673846,19819
4,Boston Celtics,25.6,41,26,45,22,5.69,-0.54,5.14,112.3,106.6,+5.7,99.4,.212,.387,.568,.535,11.7,21.9,.172,.511,13.7,77.4,.200,TD Garden,633216,18624
5,Denver Nuggets,24.8,43,22,42,23,4.74,-0.06,4.68,113.8,108.9,+4.9,98.1,.240,.346,.560,.528,12.0,27.5,.181,.524,12.6,78.4,.199,Pepsi Center,609428,18468
6,Utah Jazz,27.3,37,28,39,26,3.29,0.86,4.15,109.5,106.2,+3.3,100.3,.300,.395,.566,.530,13.6,22.6,.220,.511,12.6,80.0,.190,Vivint Smart Home Arena,585792,18306
7,Portland Trail Blazers,26.2,40,26,40,26,3.29,0.40,3.69,113.5,110.2,+3.3,99.5,.260,.342,.568,.526,12.3,25.6,.212,.517,11.2,78.4,.194,Moda Center,660834,19436
8,Oklahoma City Thunder,25.7,40,26,41,25,3.98,-0.36,3.62,110.5,106.7,+3.8,103.5,.276,.337,.548,.516,11.8,25.8,.197,.520,14.6,77.6,.211,Chesapeake Energy Arena,564293,18203
9,Indiana Pacers,27.0,42,25,43,24,4.28,-0.95,3.34,110.1,105.8,+4.3,98.1,.240,.295,.563,.532,12.6,21.8,.181,.514,14.3,76.5,.185,Bankers Life Fieldhouse,570801,16788
10,Houston Rockets,29.3,41,25,38,28,2.67,0.48,3.15,114.7,112.0,+2.7,97.7,.289,.515,.577,.537,12.3,23.5,.227,.531,13.5,74.2,.220,Toyota Center,577830,18057
11,Philadelphia 76ers,26.3,42,25,40,27,3.21,-0.17,3.04,112.1,109.0,+3.1,101.7,.316,.349,.576,.534,13.5,24.3,.245,.508,11.6,78.3,.207,Wells Fargo Center,715167,20433
12,San Antonio Spurs,28.9,38,29,36,31,1.01,0.50,1.51,112.8,111.8,+1.0,98.7,.242,.283,.572,.534,11.1,21.0,.198,.532,11.1,79.2,.172,AT&T Center,603054,18274
13,Los Angeles Clippers,27.4,38,29,35,32,0.79,0.38,1.17,111.5,110.8,+0.7,101.6,.329,.291,.571,.524,12.7,21.7,.261,.508,11.2,76.1,.226,STAPLES Center,537542,17340
14,New Orleans Pelicans,25.9,30,39,35,34,0.25,0.33,0.58,112.3,112.0,+0.3,103.0,.262,.318,.567,.532,12.4,24.2,.200,.531,11.7,77.1,.193,Smoothie King Center,508592,15894
15,Detroit Pistons,26.9,34,31,33,32,0.34,-0.34,0.00,109.0,108.7,+0.3,98.1,.264,.389,.547,.513,12.6,24.3,.195,.525,12.8,79.3,.214,Little Caesars Arena,540541,15898
16,Minnesota Timberwolves,26.6,32,35,33,34,-0.04,-0.05,-0.09,112.0,112.0,0.0,100.2,.271,.312,.552,.511,11.4,25.6,.213,.532,13.0,74.9,.196,Target Center,494378,14981
17,Sacramento Kings,24.7,33,32,30,35,-1.09,0.52,-0.57,109.4,110.4,-1.0,103.6,.248,.323,.552,.523,11.8,22.6,.179,.526,13.8,74.9,.211,Golden 1 Center,577894,16997
18,Orlando Magic,25.6,31,37,32,36,-0.97,-0.08,-1.05,107.3,108.3,-1.0,98.1,.214,.357,.546,.514,12.2,21.0,.167,.514,11.8,79.4,.191,Amway Center,594165,17311
19,Miami Heat,26.8,31,35,32,34,-0.52,-0.59,-1.11,107.8,108.4,-0.6,98.2,.254,.369,.545,.518,13.4,25.6,.175,.515,12.7,77.8,.204,AmericanAirlines Arena,666852,19613
20,Dallas Mavericks,26.8,27,39,29,37,-1.70,0.50,-1.20,108.5,110.2,-1.7,99.2,.301,.417,.554,.516,13.3,23.0,.222,.523,12.1,77.2,.187,American Airlines Center,659039,19971
21,Brooklyn Nets,25.4,35,33,33,35,-0.34,-0.91,-1.24,109.7,110.1,-0.4,100.5,.288,.400,.558,.521,13.1,23.7,.214,.515,11.7,76.5,.192,Barclays Center,523937,14554
22,Charlotte Hornets,27.0,30,36,31,35,-0.85,-0.50,-1.35,111.0,111.8,-0.8,99.1,.257,.373,.554,.515,11.3,22.1,.204,.533,12.2,77.1,.182,Spectrum Center,574515,16415
23,Memphis Grizzlies,28.0,28,40,29,39,-2.10,0.55,-1.55,104.8,107.0,-2.2,96.2,.269,.331,.545,.506,13.2,19.0,.207,.514,14.4,77.7,.236,FedEx Forum,537188,15348
24,Los Angeles Lakers,26.1,30,36,29,37,-2.00,0.27,-1.73,107.8,109.7,-1.9,103.3,.262,.337,.556,.530,13.4,21.7,.181,.515,11.9,76.3,.189,STAPLES Center,645898,18997
25,Washington Wizards,27.0,27,39,28,38,-2.68,-0.28,-2.96,111.0,113.6,-2.6,101.7,.264,.374,.570,.535,12.5,20.7,.202,.544,13.9,73.5,.209,Capital One Arena,538141,17302
26,Atlanta Hawks,25.1,23,45,21,47,-6.37,-0.53,-6.89,107.4,113.5,-6.1,103.6,.263,.396,.556,.521,14.9,24.9,.198,.542,12.9,76.8,.232,State Farm Arena,498146,15095
27,Chicago Bulls,24.0,19,49,18,50,-7.72,0.21,-7.51,104.8,112.5,-7.7,98.9,.238,.305,.544,.508,13.0,18.8,.188,.538,12.1,77.0,.190,United Center,678266,19949
28,Phoenix Suns,24.2,16,52,17,51,-8.94,0.92,-8.03,105.5,114.3,-8.8,100.5,.255,.335,.550,.512,13.9,20.7,.199,.544,13.8,73.1,.237,Talking Stick Resort Arena,498115,15094
29,New York Knicks,23.4,13,54,17,50,-8.40,0.26,-8.14,104.9,113.2,-8.3,99.9,.269,.326,.527,.487,12.1,22.9,.204,.534,12.2,76.0,.206,Madison Square Garden (IV),605070,18908
30,Cleveland Cavaliers,25.3,16,50,15,51,-9.74,-0.08,-9.82,107.1,117.1,-10.0,96.4,.243,.329,.538,.500,12.4,23.9,.191,.558,11.5,76.5,.186,Quicken Loans Arena,658280,19361
,League Average,26.5,,,33,33,0.00,0.00,0.00,110.1,110.1,,100.1,.262,.357,.559,.524,12.6,22.9,.201,.524,12.6,77.1,.201,,591897,17751
