Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Utah Jazz,65,240.8,40.0,88.2,.454,10.1,28.0,.359,30.0,60.2,.498,16.8,22.1,.759,9.0,34.1,43.0,21.5,8.6,4.8,14.1,22.6,106.9
2,Indiana Pacers,67,240.4,38.4,85.7,.449,11.2,31.7,.354,27.2,53.9,.505,15.8,21.1,.752,10.4,33.0,43.4,24.1,7.4,5.1,15.9,20.0,104.0
3,Denver Nuggets,65,240.8,39.5,86.1,.459,11.1,32.3,.343,28.4,53.8,.529,17.1,22.8,.748,9.5,32.5,42.0,24.9,7.5,5.2,13.8,20.9,107.3
4,Detroit Pistons,65,242.7,40.0,85.3,.469,9.6,28.0,.341,30.4,57.3,.532,18.2,24.2,.753,8.9,34.4,43.4,23.6,7.0,5.3,14.1,21.8,107.8
5,Miami Heat,66,240.4,38.5,86.3,.446,11.8,32.4,.365,26.7,54.0,.495,17.7,23.0,.767,9.9,33.3,43.2,23.0,7.7,4.8,14.1,20.5,106.5
6,Memphis Grizzlies,68,241.8,36.6,82.0,.446,11.2,31.5,.356,25.4,50.6,.502,19.4,24.8,.780,9.4,35.2,44.6,22.8,7.7,4.8,15.7,21.6,103.7
7,Boston Celtics,67,241.5,38.9,87.3,.445,11.4,33.6,.339,27.5,53.7,.512,17.5,23.0,.761,10.2,35.4,45.5,22.9,6.9,3.9,15.4,19.6,106.6
8,Dallas Mavericks,66,240.8,40.9,89.0,.460,11.2,32.4,.347,29.6,56.6,.524,16.6,21.6,.769,10.3,34.2,44.5,24.5,8.2,4.6,13.5,23.8,109.6
9,Milwaukee Bucks*,67,241.1,40.2,92.8,.434,12.6,35.0,.359,27.7,57.8,.479,15.3,20.6,.741,9.7,35.0,44.7,24.7,6.9,4.9,13.4,20.1,108.4
10,Orlando Magic,68,241.1,39.8,87.6,.454,10.5,29.9,.351,29.3,57.7,.507,16.8,21.4,.784,9.1,36.0,45.1,23.1,6.9,4.5,12.9,18.7,106.8
11,Houston Rockets,66,241.9,40.7,86.0,.473,10.0,29.5,.341,30.6,56.5,.542,18.9,24.6,.770,10.8,34.1,44.9,23.4,7.6,4.8,15.1,20.5,110.3
12,Toronto Raptors*,67,242.2,40.4,89.3,.453,10.5,30.4,.346,29.9,58.9,.508,17.3,22.6,.765,10.6,34.0,44.6,24.6,7.6,4.6,15.2,20.9,108.7
13,Portland Trail Blazers,66,241.9,41.1,90.0,.457,10.8,29.9,.363,30.3,60.2,.504,17.5,22.8,.768,10.0,33.1,43.1,23.1,7.4,5.2,12.6,20.7,110.6
14,Oklahoma City Thunder,66,242.3,41.0,89.1,.460,10.8,30.7,.351,30.2,58.5,.517,18.8,24.9,.756,10.3,35.6,45.9,24.9,8.2,5.2,17.1,22.8,111.5
15,Charlotte Hornets,66,241.9,41.8,89.5,.467,11.7,33.3,.353,30.1,56.2,.535,16.3,20.6,.791,10.1,35.4,45.5,25.7,7.2,6.2,13.6,20.7,111.7
16,Golden State Warriors,66,241.5,40.8,90.9,.449,11.8,33.5,.352,29.0,57.4,.505,18.9,24.5,.771,10.6,33.5,44.1,24.4,7.5,3.8,13.7,20.4,112.3
17,San Antonio Spurs,67,241.5,41.9,89.8,.466,11.9,32.6,.364,30.0,57.2,.524,15.4,20.4,.757,9.3,34.7,44.0,25.0,7.3,4.3,12.3,20.1,111.0
18,Sacramento Kings,65,240.8,41.9,90.9,.461,11.8,34.4,.343,30.1,56.5,.533,19.2,25.0,.767,11.6,37.1,48.6,24.4,7.7,5.3,16.4,21.8,114.7
19,Philadelphia 76ers,67,241.9,41.4,91.3,.453,10.0,29.4,.340,31.4,61.9,.507,18.9,24.5,.772,10.1,33.3,43.4,23.2,8.2,4.0,13.4,22.5,111.7
20,Cleveland Cavaliers,66,241.1,42.8,87.2,.491,11.6,31.1,.373,31.2,56.1,.556,16.2,21.1,.769,9.8,34.4,44.2,25.3,7.0,5.6,12.5,19.7,113.5
21,Los Angeles Lakers,66,241.5,42.4,93.5,.453,11.6,33.3,.349,30.8,60.2,.511,17.7,22.3,.791,11.3,35.6,47.0,25.0,8.3,5.3,14.0,21.2,114.0
22,Minnesota Timberwolves,67,241.9,41.6,89.8,.463,12.4,33.1,.374,29.2,56.6,.515,17.6,22.9,.769,11.2,33.9,45.1,25.6,6.5,5.6,14.9,22.0,113.1
23,Los Angeles Clippers,67,241.9,41.3,91.3,.453,10.1,29.9,.337,31.3,61.4,.509,20.6,26.6,.776,11.3,34.6,45.9,24.0,8.2,6.2,13.0,24.3,113.4
24,New York Knicks,67,241.5,41.9,89.3,.469,11.7,32.3,.361,30.2,57.0,.530,18.4,24.1,.766,10.7,36.8,47.5,25.3,7.3,5.9,13.8,21.1,113.9
25,Brooklyn Nets,68,243.7,42.3,91.8,.460,10.2,29.9,.341,32.1,62.0,.518,17.6,22.8,.772,10.8,34.9,45.7,23.5,7.6,5.4,13.5,22.1,112.3
26,Chicago Bulls,68,242.9,41.8,89.0,.470,12.2,33.5,.364,29.6,55.5,.533,16.9,22.1,.764,10.2,36.2,46.4,25.4,7.4,5.5,13.6,18.9,112.7
27,Washington Wizards,66,243.4,43.1,90.4,.476,12.2,33.0,.369,30.9,57.4,.538,18.9,24.2,.782,11.6,35.9,47.5,25.9,7.8,4.4,16.3,21.5,117.2
28,Phoenix Suns,68,242.2,42.2,87.5,.482,10.8,29.6,.365,31.4,58.0,.542,20.7,27.4,.756,11.5,35.1,46.6,26.0,9.0,5.1,15.9,20.5,115.9
29,New Orleans Pelicans,69,240.0,42.8,91.9,.466,12.1,33.3,.363,30.7,58.5,.524,17.7,23.5,.754,10.7,34.3,45.0,26.4,8.3,5.3,13.6,21.3,115.4
30,Atlanta Hawks,68,242.2,42.8,90.2,.474,12.3,34.0,.362,30.5,56.1,.542,20.9,27.8,.753,10.4,34.8,45.1,27.1,10.0,5.6,15.1,22.6,118.7
,League Average,67,241.7,41.0,89.0,.460,11.2,31.7,.354,29.7,57.3,.519,17.9,23.3,.766,10.3,34.7,45.0,24.5,7.7,5.0,14.3,21.2,111.0
