,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,Layups,Layups,,Corner,Corner
Rk,Team,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%FGA,Md.,%Ast'd,%3PA,3P%
1,Atlanta Hawks,68,16470,.474,13.8,.623,.305,.128,.091,.098,.377,.542,.657,.435,.432,.430,.362,.551,.057,316,.287,972,.842,.142,.421
2,Boston Celtics,67,16180,.445,14.1,.615,.260,.188,.084,.083,.385,.512,.664,.410,.370,.412,.339,.486,.053,280,.276,867,.841,.154,.367
3,Brooklyn Nets,68,16570,.460,13.4,.675,.270,.178,.121,.105,.325,.518,.647,.433,.474,.381,.341,.481,.049,262,.271,930,.789,.137,.320
4,Chicago Bulls,68,16520,.470,13.8,.624,.300,.146,.082,.096,.376,.533,.666,.395,.425,.421,.364,.521,.055,306,.284,954,.816,.144,.402
5,Charlotte Hornets,66,15965,.467,13.6,.628,.313,.141,.084,.091,.372,.535,.665,.394,.411,.424,.353,.521,.064,345,.295,963,.854,.145,.426
6,Cleveland Cavaliers,66,15915,.491,13.5,.644,.315,.137,.102,.090,.356,.556,.688,.422,.436,.437,.373,.512,.065,349,.279,969,.805,.172,.389
7,Dallas Mavericks,66,15890,.460,13.8,.636,.268,.166,.104,.097,.364,.524,.699,.387,.393,.416,.347,.514,.063,333,.237,797,.819,.153,.336
8,Denver Nuggets,65,15650,.459,13.3,.625,.303,.163,.085,.074,.375,.529,.661,.412,.425,.366,.343,.554,.066,326,.278,861,.824,.170,.379
9,Detroit Pistons,65,15775,.469,13.2,.671,.269,.205,.101,.096,.329,.532,.690,.449,.422,.380,.341,.516,.056,270,.296,962,.830,.145,.392
10,Golden State Warriors,66,15940,.449,14.1,.632,.250,.185,.103,.094,.368,.505,.689,.381,.398,.372,.352,.523,.053,294,.257,855,.787,.134,.330
11,Houston Rockets,66,15965,.473,13.0,.657,.292,.198,.094,.072,.343,.542,.706,.409,.421,.397,.341,.496,.057,298,.302,1004,.817,.174,.346
12,Indiana Pacers,67,16105,.449,13.8,.629,.306,.151,.081,.092,.371,.505,.638,.364,.399,.386,.354,.524,.060,305,.280,854,.875,.150,.395
13,Los Angeles Clippers,67,16205,.453,13.1,.672,.300,.169,.111,.092,.328,.509,.662,.376,.373,.421,.337,.505,.060,334,.274,924,.809,.120,.349
14,Los Angeles Lakers,66,15940,.453,13.3,.644,.313,.152,.093,.085,.356,.511,.629,.402,.401,.394,.349,.507,.067,348,.274,904,.813,.149,.358
15,Memphis Grizzlies,68,16445,.446,13.8,.616,.298,.140,.091,.086,.384,.502,.620,.396,.407,.365,.356,.519,.058,283,.273,789,.864,.167,.431
16,Miami Heat,66,15865,.446,14.0,.625,.270,.157,.096,.101,.375,.495,.601,.397,.442,.413,.365,.497,.051,261,.263,740,.825,.175,.363
17,Milwaukee Bucks*,67,16155,.434,14.7,.623,.237,.149,.130,.108,.377,.479,.612,.366,.415,.420,.359,.503,.043,232,.236,720,.854,.137,.404
