Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,New Orleans Pelicans,69,240.0,43.6,91.5,.476,10.1,29.1,.348,33.4,62.4,.536,18.3,24.0,.765,11.0,36.1,47.0,26.9,7.5,5.6,14.5,21.3,115.6
2,Milwaukee Bucks*,67,241.1,43.3,90.7,.477,13.4,38.0,.352,29.9,52.7,.567,17.6,22.7,.772,9.3,39.9,49.3,26.0,7.4,6.0,14.0,19.7,117.4
3,Golden State Warriors,66,241.5,43.9,89.9,.488,13.0,34.3,.378,30.9,55.6,.556,17.5,21.7,.805,9.9,36.2,46.2,29.2,7.6,6.5,14.1,21.6,118.2
4,Philadelphia 76ers,67,241.9,41.3,87.6,.471,11.0,30.6,.358,30.3,57.0,.532,21.4,27.7,.775,10.7,36.5,47.2,27.1,7.7,5.4,15.5,21.6,114.9
5,Toronto Raptors*,67,242.2,42.2,89.7,.470,11.8,33.4,.353,30.4,56.3,.539,18.1,22.5,.804,10.2,35.0,45.1,25.0,8.3,5.3,13.9,21.2,114.2
6,Los Angeles Clippers,67,241.9,40.9,87.3,.468,9.7,25.4,.382,31.1,61.9,.503,22.8,28.8,.791,9.6,36.0,45.5,23.3,6.6,4.8,14.6,23.4,114.2
7,Atlanta Hawks,68,242.2,40.9,90.6,.451,12.6,35.9,.352,28.3,54.7,.517,17.9,23.8,.753,11.6,34.3,45.9,25.5,8.1,5.1,17.7,23.6,112.4
8,Oklahoma City Thunder,66,242.3,43.0,94.0,.457,10.9,31.7,.346,32.0,62.3,.514,18.5,25.9,.714,12.4,35.8,48.2,23.2,9.8,5.2,14.1,22.8,115.4
9,Brooklyn Nets,68,243.7,40.1,89.1,.451,12.6,35.6,.353,27.6,53.5,.516,19.1,25.6,.746,10.9,35.1,45.9,23.9,6.5,4.2,15.1,21.6,112.0
10,Minnesota Timberwolves,67,241.9,41.7,91.6,.456,10.0,28.6,.351,31.7,63.0,.504,19.5,24.8,.789,11.7,33.6,45.3,24.5,8.5,5.2,13.1,20.5,113.0
11,Washington Wizards,66,243.4,42.3,90.0,.470,11.6,33.7,.344,30.8,56.4,.546,18.2,23.8,.766,9.4,32.2,41.6,26.8,8.6,4.8,14.3,21.3,114.5
12,Boston Celtics,67,241.5,42.0,90.4,.465,12.8,35.0,.365,29.2,55.4,.528,15.5,19.1,.811,9.9,34.8,44.8,26.4,8.8,5.5,13.1,20.5,112.3
13,Portland Trail Blazers,66,241.9,41.9,90.0,.465,11.0,30.8,.358,30.8,59.3,.520,19.1,23.4,.818,11.4,36.3,47.7,22.7,6.8,5.1,14.1,20.9,113.9
14,San Antonio Spurs,67,241.5,42.2,88.4,.478,10.0,25.0,.399,32.3,63.4,.508,17.6,21.4,.820,9.2,35.4,44.6,24.4,6.1,4.6,12.3,18.4,112.0
15,Houston Rockets,66,241.9,38.8,86.9,.447,15.6,44.8,.348,23.2,42.1,.552,19.7,25.1,.786,10.5,31.0,41.5,20.9,8.5,5.2,13.7,22.5,112.9
16,Los Angeles Lakers,66,241.5,42.8,90.3,.474,10.1,30.4,.333,32.7,59.9,.546,16.3,23.7,.690,9.8,36.5,46.3,25.3,7.2,5.4,15.6,20.8,112.0
17,Sacramento Kings,65,240.8,42.9,92.8,.462,11.2,30.0,.375,31.6,62.8,.504,16.6,23.0,.722,10.8,34.6,45.4,25.4,8.4,4.7,13.8,21.9,113.6
18,Charlotte Hornets,66,241.9,40.4,89.8,.450,11.8,33.5,.352,28.6,56.3,.508,18.3,23.1,.792,10.0,34.1,44.2,23.2,7.1,5.1,12.8,19.4,110.8
19,Denver Nuggets,65,240.8,42.2,90.5,.467,11.1,31.3,.355,31.1,59.1,.526,16.4,21.7,.755,12.3,34.6,46.9,27.6,7.8,4.5,13.6,20.4,112.0
20,Phoenix Suns,68,242.2,40.0,87.4,.457,9.6,29.3,.329,30.3,58.2,.521,17.4,22.3,.782,9.2,31.2,40.3,23.9,9.1,5.0,15.6,23.7,107.0
21,Indiana Pacers,67,240.4,41.4,86.9,.477,9.6,25.6,.376,31.8,61.3,.519,15.7,20.8,.754,9.2,33.9,43.1,26.0,8.8,5.1,13.8,19.6,108.2
22,Orlando Magic,68,241.1,39.9,88.5,.451,11.2,31.6,.354,28.7,56.9,.505,14.8,19.0,.780,9.6,35.2,44.8,25.0,6.5,5.6,13.5,19.0,105.8
23,Utah Jazz,65,240.8,39.7,86.1,.462,11.8,34.0,.349,27.9,52.1,.535,18.9,25.8,.732,10.0,35.9,45.8,25.3,8.2,5.9,15.3,21.0,110.2
24,Chicago Bulls,68,242.9,39.6,87.3,.454,9.4,26.6,.353,30.2,60.6,.498,16.4,20.8,.787,8.4,34.1,42.4,22.1,7.5,4.5,14.4,20.6,105.0
25,Dallas Mavericks,66,240.8,38.3,86.0,.445,12.2,35.8,.341,26.1,50.1,.520,19.1,25.8,.740,10.2,35.0,45.1,22.7,6.9,4.3,15.0,19.9,107.9
26,New York Knicks,67,241.5,38.6,89.5,.432,9.9,29.2,.340,28.7,60.3,.476,18.2,24.1,.757,10.9,33.9,44.8,19.9,7.2,4.9,13.8,21.4,105.4
27,Detroit Pistons,65,242.7,39.4,88.5,.445,12.1,34.5,.351,27.3,54.1,.505,17.3,23.4,.740,11.1,34.2,45.3,22.7,6.8,3.9,14.3,22.4,108.2
28,Miami Heat,66,240.4,39.6,87.5,.453,11.5,32.3,.355,28.2,55.3,.510,15.3,22.2,.690,11.4,34.7,46.1,24.1,7.6,5.5,15.1,21.1,106.0
29,Memphis Grizzlies,68,241.8,37.5,83.3,.450,9.3,27.6,.337,28.2,55.7,.507,17.3,22.4,.770,8.3,32.8,41.0,23.6,8.4,5.7,14.2,22.3,101.6
30,Cleveland Cavaliers,66,241.1,38.4,87.1,.441,10.3,28.7,.360,28.1,58.5,.480,16.7,21.1,.789,10.8,31.9,42.7,21.0,6.6,2.5,13.7,20.5,103.7
,League Average,67,241.7,41.0,89.0,.460,11.2,31.7,.354,29.7,57.3,.519,17.9,23.3,.766,10.3,34.7,45.0,24.5,7.7,5.0,14.3,21.2,111.0
