,Player_x,Pos_x,Age_x,Tm_x,G_x,GS,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Player_year,Year,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,All-Star_caliber
0,Jordan Adams\adamsjo01,SG,21,MEM,2,0,15,6.9,20.6,0.33299999999999996,0.0,3.4,0.0,6.9,17.2,0.4,10.3,17.2,0.6,0.0,6.9,6.9,10.3,10.3,0.0,6.9,6.9,24.0,84.0,90,Jordan Adams\adamsjo01/2016,2016,17.3,0.42700000000000005,0.16699999999999998,0.833,0.0,15.9,7.6,31.9,10.3,0.0,19.6,30.5,0.0,0.0,0.0,0.015,-2.9,4.8,1.9,0.0,0
1,Steven Adams\adamsst01,C,22,OKC,80,80,2014,6.4,10.5,0.613,0.0,0.0,0.0,6.4,10.5,0.613,2.8,4.8,0.5820000000000001,5.4,7.7,13.1,1.5,1.0,2.2,2.1,5.5,15.7,123.0,105,Steven Adams\adamsst01/2016,2016,15.5,0.621,0.0,0.46,12.5,16.1,14.4,4.3,1.0,3.3,14.1,12.6,4.2,2.3,6.5,0.155,0.8,1.3,2.1,2.1,1
2,Arron Afflalo\afflaar01,SG,30,NYK,71,57,2371,7.7,17.3,0.44299999999999995,2.0,5.2,0.382,5.7,12.2,0.469,2.4,2.8,0.84,0.5,5.3,5.8,3.1,0.5,0.2,1.8,3.1,19.7,105.0,112,Arron Afflalo\afflaar01/2016,2016,10.9,0.531,0.298,0.16399999999999998,1.1,11.0,6.1,9.9,0.5,0.3,8.7,17.9,1.8,0.9,2.7,0.055,-0.6,-1.8,-2.4,-0.2,0
3,Alexis Ajinca\ajincal01,C,27,NOP,59,17,861,8.6,18.1,0.47600000000000003,0.0,0.1,0.0,8.6,18.1,0.478,3.0,3.6,0.8390000000000001,4.3,11.2,15.5,1.8,1.1,2.1,3.1,7.7,20.3,100.0,107,Alexis Ajinca\ajincal01/2016,2016,13.8,0.514,0.003,0.19699999999999998,9.3,25.9,17.3,5.8,1.1,3.4,13.6,20.4,0.2,0.9,1.0,0.057999999999999996,-4.3,-0.2,-4.5,-0.5,0
4,Cole Aldrich\aldrico01,C,27,LAC,60,5,800,8.4,14.1,0.596,0.0,0.0,0.0,8.4,14.1,0.596,3.8,5.3,0.7140000000000001,5.4,12.7,18.0,3.1,2.9,4.3,4.0,8.7,20.5,113.0,94,Cole Aldrich\aldrico01/2016,2016,21.3,0.626,0.0,0.373,11.9,27.1,19.6,10.0,2.9,6.7,19.6,18.4,1.4,2.0,3.5,0.209,-1.0,5.8,4.8,1.4,0
5,LaMarcus Aldridge\aldrila01,PF,30,SAS,74,74,2261,12.1,23.7,0.513,0.0,0.4,0.0,12.1,23.3,0.521,5.9,6.8,0.858,4.0,10.3,14.3,2.5,0.9,1.8,2.2,3.4,30.1,114.0,99,LaMarcus Aldridge\aldrila01/2016,2016,22.4,0.565,0.015,0.289,9.2,22.2,15.9,8.1,0.9,2.8,7.8,25.9,5.6,4.5,10.1,0.215,0.7,1.1,1.8,2.2,1
6,Cliff Alexander\alexacl01,PF,20,POR,8,0,36,6.9,13.9,0.5,0.0,0.0,0.0,6.9,13.9,0.5,0.0,0.0,0.0,2.8,5.6,8.3,0.0,1.4,2.8,1.4,1.4,13.9,100.0,107,Cliff Alexander\alexacl01/2016,2016,11.6,0.5,0.0,0.0,6.0,12.1,9.0,0.0,1.4,4.4,9.1,13.3,0.0,0.0,0.0,0.052000000000000005,-5.7,-1.3,-7.0,0.0,0
7,Lavoy Allen\allenla01,PF,26,IND,79,28,1599,5.9,11.5,0.516,0.0,0.0,0.0,5.9,11.5,0.516,1.4,2.3,0.63,5.0,8.1,13.2,2.4,0.8,1.3,2.1,4.6,13.3,110.0,104,Lavoy Allen\allenla01/2016,2016,12.4,0.532,0.0,0.19699999999999998,11.1,17.8,14.5,7.1,0.8,2.1,14.6,13.0,1.6,2.1,3.7,0.11,-2.1,1.4,-0.6,0.6,0
8,Tony Allen\allento01,SG,34,MEM,64,57,1620,6.8,14.9,0.45799999999999996,0.5,1.3,0.35700000000000004,6.4,13.6,0.46799999999999997,2.9,4.4,0.652,3.3,6.1,9.4,2.2,3.5,0.6,2.5,5.6,17.0,101.0,105,Tony Allen\allento01/2016,2016,12.9,0.505,0.09,0.294,7.0,14.1,10.4,6.9,3.5,1.0,12.8,16.8,0.5,1.9,2.4,0.07200000000000001,-1.5,1.4,-0.1,0.8,0
9,Al-Farouq Aminu\aminual01,SF,25,POR,82,82,2341,6.4,15.4,0.41600000000000004,2.7,7.5,0.361,3.7,7.9,0.46799999999999997,2.5,3.3,0.737,2.1,8.6,10.7,2.9,1.5,1.1,2.6,3.7,17.9,105.0,107,Al-Farouq Aminu\aminual01/2016,2016,12.7,0.5329999999999999,0.485,0.217,4.5,18.6,11.5,8.8,1.5,1.8,13.2,16.9,1.7,2.3,4.0,0.08199999999999999,-0.4,0.7,0.2,1.3,0
