,Player_x,Pos_x,Tm_x,3P%,2P%,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,ORtg,DRtg,Player_year,Year,TS%,3PAr,FTr,OWS,DWS,principal component 1,principal component 2,Cluster,All-Star_caliber
0,Jordan Adams\adamsjo01,SG,MEM,0.0,0.4,0.6,0.0,6.9,6.9,10.3,10.3,0.0,6.9,84.0,90,Jordan Adams\adamsjo01/2016,2016,0.4270000000000001,0.16699999999999998,0.833,0.0,0.0,3.4773745760752184,2.2413291895221072,Primary Distributing Ballhandler,0
1,Steven Adams\adamsst01,C,OKC,0.0,0.613,0.5820000000000001,5.4,7.7,13.1,1.5,1.0,2.2,5.5,123.0,105,Steven Adams\adamsst01/2016,2016,0.621,0.0,0.46,4.2,2.3,-2.927622706758244,0.4470642183805328,Offensive Big Man,1
2,Arron Afflalo\afflaar01,SG,NYK,0.382,0.469,0.84,0.5,5.3,5.8,3.1,0.5,0.2,3.1,105.0,112,Arron Afflalo\afflaar01/2016,2016,0.531,0.298,0.16399999999999998,1.8,0.9,0.7902358580528637,-1.0412617792474952,3 & D Wing,0
3,Alexis Ajinca\ajincal01,C,NOP,0.0,0.478,0.8390000000000001,4.3,11.2,15.5,1.8,1.1,2.1,7.7,100.0,107,Alexis Ajinca\ajincal01/2016,2016,0.514,0.003,0.197,0.2,0.9,-2.9214631988072797,0.8606905951673698,Offensive Big Man,0
4,Cole Aldrich\aldrico01,C,LAC,0.0,0.596,0.7140000000000001,5.4,12.7,18.0,3.1,2.9,4.3,8.7,113.0,94,Cole Aldrich\aldrico01/2016,2016,0.626,0.0,0.373,1.4,2.0,-4.057452193469855,2.201391258640595,Defensive Big Man,0
5,LaMarcus Aldridge\aldrila01,PF,SAS,0.0,0.521,0.858,4.0,10.3,14.3,2.5,0.9,1.8,3.4,114.0,99,LaMarcus Aldridge\aldrila01/2016,2016,0.565,0.015,0.289,5.6,4.5,-2.543672996297652,0.2706353660866358,Offensive Big Man,1
6,Cliff Alexander\alexacl01,PF,POR,0.0,0.5,0.0,2.8,5.6,8.3,0.0,1.4,2.8,1.4,100.0,107,Cliff Alexander\alexacl01/2016,2016,0.5,0.0,0.0,0.0,0.0,-1.740932761151025,-0.6482922610176309,Offensive Big Man,0
7,Lavoy Allen\allenla01,PF,IND,0.0,0.516,0.63,5.0,8.1,13.2,2.4,0.8,1.3,4.6,110.0,104,Lavoy Allen\allenla01/2016,2016,0.532,0.0,0.197,1.6,2.1,-1.8733303240682946,0.5680107848212713,Offensive Big Man,0
8,Tony Allen\allento01,SG,MEM,0.35700000000000004,0.468,0.652,3.3,6.1,9.4,2.2,3.5,0.6,5.6,101.0,105,Tony Allen\allento01/2016,2016,0.505,0.09,0.294,0.5,1.9,-0.40189274192535646,-1.1160911091582921,Defensive Forward,0
9,Al-Farouq Aminu\aminual01,SF,POR,0.361,0.468,0.737,2.1,8.6,10.7,2.9,1.5,1.1,3.7,105.0,107,Al-Farouq Aminu\aminual01/2016,2016,0.5329999999999999,0.485,0.217,1.7,2.3,-0.42739984558887534,-1.5002720811439734,Defensive Forward,0
