,MP,3PA,3P%,2PA,2P%,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,opp_MP,opp_3PA,opp_3P%,opp_2PA,opp_2P%,opp_FTA,opp_FT%,opp_ORB,opp_DRB,opp_AST,opp_STL,opp_BLK,opp_TOV,opp_PF,opp_PTS,Dist.,Pct_FGA_by_dist_2P,Pct_FGA_by_dist_0-3,Pct_FGA_by_dist_3-10,Pct_FGA_by_dist_10-16,Pct_FGA_by_dist_16-3pt,Pct_FGA_by_dist_3P,FGP_by_dist_2P,FGP_by_dist_0-3,FGP_by_dist_3-10,FGP_by_dist_10-16,FGP_by_dist_16-3pt,FGP_by_dist_3P,3FG_%assisted,3FG_corner_%3PA,3FG_corner_3P%,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,ORB%,FT/FGA,opp_eFG%,DRB%,opp_FT/FGA,Attend.,Attend./G,Playoff
MP,1.0,0.06457251555786452,-0.016896638365725088,0.0011378866851856897,0.09946812877911754,-0.1398132099635126,-0.196594756659595,0.08531497463735417,0.1877674210113815,0.2514131403950861,-0.031536861590351004,0.0653032751386537,-0.05223481262166722,-0.04205579920904474,0.07161014520255948,1.0,-0.1387703013356534,-0.11891202883092117,0.13246974582293458,-0.09808238378080143,-0.04792214478966994,0.17396189684604255,-0.10396901972338649,0.006926738163759675,-0.15248825676670252,-0.2791638082255895,-0.1838279567483934,-0.09334701601711472,-0.1690978509486784,-0.11622094708522573,-0.09768111669731001,-0.034942219373103045,-0.10462582587159584,0.34282802462434264,-0.13673503240676357,-0.18530639075499067,0.0349422193731031,0.09946812877911754,0.0879731182735517,0.48192894163031763,0.023958151236794522,-0.3231521835696379,-0.016896638365725088,0.4181591851601727,0.004204493340237742,0.03384977029767999,-0.22624709523854908,0.1190401568241551,-0.1190401568241551,0.10569706294855766,-0.10569706294855766,0.11290675258309871,-0.14284293854758962,0.1090806195811175,0.07161014520255948,-0.11622094708522573,0.1139342658075001,0.10860340112466171,-0.16042733307818768,0.0349422193731031,0.02649999808879327,0.09429289275079789,0.07459696183866732,-0.21273909255633047,-0.1251868221314136,0.16460055091268916,-0.01788408723872269,0.1744859277409761,0.17036220925466267,0.10875995513745654
3PA,0.06457251555786452,1.0,0.07748856932391675,-0.9453144707889668,0.27893419193773994,0.1381238638879456,0.00823497818540057,-0.24524129047040313,0.32481681562381015,-0.057203392256153625,-0.10142125486261702,-0.0741873800561264,0.0001442036124856187,-0.014797179660029698,0.23347447577335617,0.06457251555786452,-0.2680757757925591,-0.07940537466087634,0.23230883227636412,-0.0959572065044134,-0.14465143641188524,-0.35661132110134397,-0.35663193559159556,0.1835959982007347,-0.17109243754252573,-0.06616704651017603,-0.07037776171277176,-0.2108973810966787,0.03475958950149851,-0.23720002914340652,0.7767754031761269,-0.9927969250733522,-0.05077257336859749,-0.396316256047187,-0.6823510365652149,-0.7220949374055649,0.9927969250733519,0.27893419193773994,0.024614575764799657,-0.28610855478254144,-0.06584770920377599,0.03041081210270655,0.07748856932391675,-0.3017438337571517,0.07577641425619965,0.08850364251736476,0.17836451920187799,0.24787509480911993,-0.24787509480911993,0.2683792696273271,-0.2683792696273271,0.29409403495920794,-0.28342251531440044,0.28942400040771105,0.23347447577335617,-0.23720002914340652,0.29387661857990693,0.1488556441549681,0.16707788949573335,0.9927969250733519,0.2924719173392129,0.3081716757707315,-0.26609995836634864,0.17348599296164063,-0.12394665157629323,0.4075662125999248,-0.19322097680475983,0.17537716126192535,0.16352148896891724,0.049187834001822646
3P%,-0.016896638365725088,0.07748856932391675,1.0,-0.08108043858154167,0.23104589726121677,-0.2228757025771804,0.3208020112932708,-0.21532278131426408,0.28653202708399583,0.46567611003949105,0.1612322419974142,0.15647068905831024,-0.0976695430210758,-0.26902512883195806,0.3951283391307554,-0.016896638365725088,0.15380140358721003,-0.17602770353294236,-0.05401534926491555,-0.1523735116134782,-0.2659807171057098,-0.2701785342248399,-0.08109362696245692,-0.2333170547891851,0.010808436218053242,-0.06820163283183538,-0.5012476495564252,0.12387314385221142,-0.22518137233058763,-0.3101912858453883,0.40562055327337837,-0.0809799453526093,-0.47051549450706404,-0.03599244259265002,0.1558245494896683,0.20050598401681652,0.08097994535260909,0.23104589726121677,0.2876846737112436,0.11414845269512297,0.4507242330818777,0.5591361283009769,1.0,-0.08602006648371877,-0.14351209302637752,0.4593277807028979,0.35121311905037467,0.487604138984508,-0.487604138984508,0.45710453511273796,-0.45710453511273796,0.4572624494003667,-0.43542975496393627,0.45014082414513407,0.3951283391307554,-0.3101912858453883,0.4473988037865092,-0.16622960114175958,-0.1997361858674055,0.08097994535260909,0.46954426869091154,0.5285465355259749,-0.09732247754194416,-0.09484802784544749,-0.18471354748947255,0.17237048536360045,-0.31251998454989005,0.16192224627951987,0.16205849788393137,0.3449177298332346
2PA,0.0011378866851856897,-0.9453144707889668,-0.08108043858154167,1.0,-0.4268586809857284,-0.250520209107494,-0.06512928797375409,0.39102589262280085,-0.2932398323212015,-0.06883522715178558,0.09400791030612304,-0.02737300168022018,-0.1633210688896557,-0.0413978631806999,-0.27143680714144947,0.0011378866851856897,0.32502917805722564,0.10578869176122335,-0.3144631757071806,0.14374549460060695,0.06872851022713398,0.31842575375997456,0.21709811060289128,-0.044812846174818795,0.19385592596806225,-0.07173207022450095,0.09638843077772732,0.22564910952081388,-0.12123250340552699,0.19617018919425638,-0.7117182816378703,0.9771205244062522,-0.07972195255332716,0.4354942191877304,0.6736317133665559,0.7736467620773038,-0.9771205244062524,-0.4268586809857284,-0.16932210804327472,0.2754784252941132,0.02954057443843608,-0.0736536720002959,-0.08108043858154167,0.286933867544917,-0.07650895231693029,-0.04370903628554603,-0.19946213094909498,-0.2673581396091896,0.2673581396091896,-0.27281180249409215,0.27281180249409215,-0.29778031198204735,0.28174751682957433,-0.2933340490667387,-0.27143680714144947,0.19617018919425638,-0.298081998367621,-0.3117474367490432,-0.319881326723345,-0.9771205244062524,-0.44543054456376635,-0.44198464781464025,0.3437695886491436,-0.33890430286676715,0.17217087355447644,-0.2828247124968665,0.12518056017845597,-0.09674278885279596,-0.08750348774785145,-0.08014921276593248
2P%,0.09946812877911754,0.27893419193773994,0.23104589726121677,-0.4268586809857284,1.0,0.3083017450328701,0.36819323259986564,-0.2988115162860503,0.06776735490070061,0.5250943116930945,0.30521979321092196,0.5274337178753538,0.09055397906218127,-0.04627560836792216,0.8162693775111591,0.09946812877911754,-0.22303878790664228,-0.30385180327648814,0.33879491186410193,-0.1948587818894016,-0.0708820563465233,-0.3041762937044055,0.31812350786633087,-0.6944511361266493,-0.12731855196478295,0.11430069541731787,-0.5048495713087994,0.08211047189942186,0.1607951230964103,-0.19361382136647065,0.1481468563905362,-0.33754300593575054,0.3182212312251521,-0.3120037757824254,-0.19759544296023882,-0.38116891172099765,0.33754300593575026,1.0,0.7465104058775298,0.37247930729480827,0.5321760518897629,0.43392154607890826,0.23104589726121677,-0.13568451177931026,0.18471106456597053,0.2518653941511474,0.5126049002913032,0.7116017456691125,-0.7116017456691125,0.6623367799617688,-0.6623367799617688,0.6812288621885499,-0.47223911852229383,0.6811639623203047,0.8162693775111591,-0.19361382136647065,0.6794245685132017,0.35359866239554394,0.3726568236403617,0.33754300593575026,0.9434612346630711,0.943370670250622,-0.006843501833393223,0.4722719768061904,-0.2839929166525013,-0.22304546491053617,-0.1485142532857334,0.18010148813396448,0.18458789948183865,0.5375049908359044
FTA,-0.1398132099635126,0.1381238638879456,-0.2228757025771804,-0.250520209107494,0.3083017450328701,1.0,-0.11247046955251608,0.2762329688439489,-0.011564226466115752,-0.2615239950862811,0.07890640429823025,-0.001830871683562508,-0.12041089639212137,-0.07869769651540773,0.49967191913778786,-0.1398132099635126,-0.16894971900382938,0.010028037853047893,0.1502691964060403,0.046305087045193,-0.07912464396451509,0.07155676587957258,-0.10460083536471612,-0.3536442592991698,-0.049619469961425196,-0.19677832375203147,0.07403260553250991,0.004855526760127062,0.8253155029623918,0.0052361712880956805,-0.14139117082673766,-0.18082322340989027,0.5212518202307341,-0.2197673655094782,-0.22721581933692864,-0.3767863185486594,0.18082322340989027,0.3083017450328701,0.1630813085323525,-0.21689683923080538,0.13240998581828517,-0.2542005027614404,-0.2228757025771804,-0.39270347462013133,0.08185519252557352,-0.38822849864383874,0.1699796333554147,0.3058014578479216,-0.3058014578479216,0.34490470395824796,-0.34490470395824796,0.34019088107458517,-0.17962020924799343,0.34356329585106177,0.49967191913778786,0.0052361712880956805,0.34815030539302627,0.24044676295365464,0.9887503577763738,0.18082322340989027,0.3321008672106845,0.19362690201818192,0.34624102585884714,0.9371058671111097,0.028242197813286532,0.07014423219698024,-0.06272531493190048,-0.2043580294298106,-0.2012434782108649,0.14640492584704068
FT%,-0.196594756659595,0.00823497818540057,0.3208020112932708,-0.06512928797375409,0.36819323259986564,-0.11247046955251608,1.0,-0.41848033212778074,0.00840028885918594,0.31064232427813787,0.035441762602396926,0.39166173092078843,-0.11816603401844425,-0.011445070994925493,0.4130470919763791,-0.196594756659595,-0.27959509814531175,0.014964708976664003,0.28529655833590745,-0.17976119050869993,0.07512649748402313,-0.13322816613656807,0.20350831857443247,-0.28923275103758167,-0.14066443510709276,-0.07620884993017348,-0.3386234624076097,-0.0033432980640076414,-0.11164269999810178,-0.05861559418849291,0.22073520983185518,-0.03283348366143875,-0.20125290729341122,-0.15636982365861946,0.2640742473948782,0.09734884575139763,0.03283348366143891,0.36819323259986564,0.21660328839247456,0.2079075410780822,0.5704405665268316,0.6068109408281469,0.3208020112932708,-0.17836832847954615,0.14053429295497594,0.4251547474367986,0.3154412946879643,0.3287319749500709,-0.3287319749500709,0.31677853392074784,-0.31677853392074784,0.32513310188169586,-0.24837730620607462,0.3236647517925781,0.4130470919763791,-0.05861559418849291,0.32225428786442084,-0.18878379216884592,-0.08435497377179912,0.03283348366143891,0.5074688635106342,0.42879507480834067,-0.24722953807167802,0.20830656955803997,-0.15735413985307095,-0.1654971610226392,0.03916657075670568,0.003831731793122438,0.004403268122611429,0.40794674376245266
ORB,0.08531497463735417,-0.24524129047040313,-0.21532278131426408,0.39102589262280085,-0.2988115162860503,0.2762329688439489,-0.41848033212778074,1.0,0.013310969333850082,-0.27531537703652725,0.14729274803790782,-0.08230792601495615,0.06592381257660047,0.07306050561684245,0.028240017098129122,0.08531497463735417,0.10588665508840509,-0.026335451959355053,-0.20819552823909704,-0.03876092964219624,0.08536353194812565,-0.12392503118188974,-0.09008018656319279,-0.2583594674260328,-0.0786313064322487,0.0056569972825406285,0.30059916541130655,0.14984173183660643,0.27619262595455324,-0.11901594285869278,-0.3913723091764917,0.3007465748913661,0.16221177918721663,0.16182261763219086,0.1436479012562561,0.09342034941707335,-0.3007465748913659,-0.2988115162860503,-0.2719208797620417,-0.09766106913911383,-0.0943389027380913,-0.31050197346690583,-0.21532278131426408,0.10312567441364787,-0.12580296598098564,-0.3039883755717067,-0.24931801413596985,0.041375445337703036,-0.041375445337703036,0.10412591483896899,-0.10412591483896899,0.0804142105875076,0.0799294073879329,0.08854754509649929,0.028240017098129122,-0.11901594285869278,0.08499717083214144,-0.1564173357818513,0.16839584765164525,-0.3007465748913659,-0.3444786573378233,-0.355393415638162,0.938667938751759,0.038117611847822516,-0.028347627615447152,0.08331165064380279,0.08078580197254367,-0.01541272182166778,-0.01730579527349776,-0.043822394107904485
DRB,0.1877674210113815,0.32481681562381015,0.28653202708399583,-0.2932398323212015,0.06776735490070061,-0.011564226466115752,0.00840028885918594,0.013310969333850082,1.0,0.08730496660414526,-0.29387664161587107,0.18744494800208425,-0.0017217297308216638,-0.309331486871675,0.13200949934981715,0.1877674210113815,-0.33144767172907263,-0.49260146833050195,0.4419678408089426,-0.6240217386246908,-0.24795891875414122,-0.19645799402826197,-0.37867636702501467,0.020920004426562278,-0.5067976302834205,-0.059218634915993794,-0.1827213375219669,-0.49455158855919046,-0.1291888369918638,-0.6831387548005943,0.30278624655456376,-0.3174396215033729,-0.18592941739484298,-0.000817103866475686,-0.11479340195712039,-0.2660791685685568,0.31743962150337274,0.06776735490070061,-0.02415276423095076,0.06649959844782694,0.025737986789904167,0.11565291724327616,0.28653202708399583,-0.07466234879339925,-0.24643778422060786,0.06527542240902767,0.013873685818935898,0.4223731399147179,-0.4223731399147179,0.47162303638215497,-0.47162303638215497,0.4607208011924328,-0.3877079064468946,0.45639333475109134,0.13200949934981715,-0.6831387548005943,0.4667399686809869,0.23560448985962715,-0.008784264309435106,0.31743962150337274,0.14470364855742227,0.17257898429535964,0.005748260406017741,-0.013952802660861116,-0.6794483028799311,0.6894140017788508,-0.32034498063092776,0.4792188334528697,0.46987847034549224,0.2501984229041841
AST,0.2514131403950861,-0.057203392256153625,0.46567611003949105,-0.06883522715178558,0.5250943116930945,-0.2615239950862811,0.31064232427813787,-0.27531537703652725,0.08730496660414526,1.0,0.10729824821537536,0.4749794663872669,0.3391779145542489,-0.016500975386863275,0.31024326904394256,0.2514131403950861,-0.07065579409947252,-0.2638681159993009,0.19514415132794555,-0.2130889054840914,0.07193067367575023,-0.1953025372885803,0.3846339925800158,-0.47972095637827084,0.03256188720715006,0.30482131837116955,-0.5080382627383748,0.043884558791871316,-0.26095478498920804,-0.10828782079016613,0.12192945371941312,0.01463226349956306,-0.26467274786489586,0.08435320328288572,0.28824620683843244,-0.001126557359882233,-0.014632263499563387,0.5250943116930945,0.6691143414387943,0.5148679405994198,0.2923145754222938,0.42126321019165636,0.46567611003949105,0.49969531257206445,-0.18204295713975807,0.3012653817930532,0.187703954003834,0.27961100693594154,-0.27961100693594154,0.27695799474891725,-0.27695799474891725,0.2833124988141814,-0.24250295440084862,0.2805229062664554,0.31024326904394256,-0.10828782079016613,0.27722961112432437,0.30131819017713357,-0.19119739927533785,-0.014632263499563387,0.5514762346892851,0.6240491508449445,-0.05706026822734695,-0.09909323149721301,-0.26917038668038806,-0.26058661045360554,-0.0031605394701554193,0.19702039714869934,0.19749339479222178,0.2257670648688097
