,Team,MP,3PA,3P%,2PA,2P%,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,opp_Team_x,opp_MP,opp_3PA,opp_3P%,opp_2PA,opp_2P%,opp_FTA,opp_FT%,opp_ORB,opp_DRB,opp_AST,opp_STL,opp_BLK,opp_TOV,opp_PF,opp_PTS,Dist.,Pct_FGA_by_dist_2P,Pct_FGA_by_dist_0-3,Pct_FGA_by_dist_3-10,Pct_FGA_by_dist_10-16,Pct_FGA_by_dist_16-3pt,Pct_FGA_by_dist_3P,FGP_by_dist_2P,FGP_by_dist_0-3,FGP_by_dist_3-10,FGP_by_dist_10-16,FGP_by_dist_16-3pt,FGP_by_dist_3P,3FG_%assisted,3FG_corner_%3PA,3FG_corner_3P%,opp_Team_y,opp_Dist.,opp_Pct_FGA_by_dist_2P,opp_Pct_FGA_by_dist_0-3,opp_Pct_FGA_by_dist_3-10,opp_Pct_FGA_by_dist_10-16,opp_Pct_FGA_by_dist_16-3pt,opp_Pct_FGA_by_dist_3P,opp_FGP_by_dist_2P,opp_FGP_by_dist_0-3,opp_FGP_by_dist_3-10,opp_FGP_by_dist_10-16,opp_FGP_by_dist_16-3pt,opp_FGP_by_dist_3P,opp_3FG_%assisted,opp_3FG_corner_%3PA,opp_3FG_corner_3P%,Age,W,L,PW,PL,MOV,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,ORB%,FT/FGA,opp_eFG%,DRB%,opp_FT/FGA,Attend.,Attend./G,Playoff,Tier
0,Golden State Warriors*,19730,28.9,0.391,56.3,0.56,20.4,0.815,8.4,35.1,29.3,8.0,7.5,15.5,19.6,113.6,Golden State Warriors*,19730,29.2,0.35700000000000004,60.9,0.49,22.1,0.758,10.9,31.7,23.6,8.8,3.7,14.4,18.5,107.6,14.0,0.6609999999999999,0.267,0.111,0.139,0.14400000000000002,0.33899999999999997,0.56,0.708,0.424,0.485,0.46299999999999997,0.391,0.8009999999999999,0.158,0.405,Golden State Warriors*,12.9,.676,.278,.166,.112,.120,.324,.490,.652,.380,.390,.359,.357,.802,.189,.378,28.8,58.0,24.0,56,26,5.98,113.6,107.6,6.0,99.6,0.239,0.33899999999999997,0.603,0.569,21.0,0.195,0.504,76.3,0.18600000000000003,803436,19596,1,Contender
1,Houston Rockets*,19755,43.2,0.36200000000000004,42.8,0.5579999999999999,25.7,0.7809999999999999,9.2,35.2,22.0,8.7,4.9,14.1,19.9,114.7,Houston Rockets*,19755,29.5,0.35100000000000003,57.9,0.519,20.0,0.746,8.8,34.1,22.9,7.6,4.5,14.9,20.8,106.1,15.0,0.498,0.28800000000000003,0.10300000000000001,0.062,0.044000000000000004,0.502,0.5579999999999999,0.669,0.369,0.45399999999999996,0.43,0.36200000000000004,0.6890000000000001,0.22699999999999998,0.401,Houston Rockets*,12.8,.663,.304,.157,.097,.104,.337,.519,.670,.412,.396,.358,.351,.802,.214,.380,29.8,65.0,17.0,61,21,8.48,114.7,106.1,8.6,97.6,0.298,0.502,0.59,0.551,21.3,0.233,0.521,79.9,0.171,732722,17871,1,Contender
2,New Orleans Pelicans*,19955,27.7,0.36200000000000004,59.0,0.54,20.5,0.772,8.5,35.0,26.3,7.9,5.8,14.6,18.8,109.6,New Orleans Pelicans*,19955,30.0,0.355,60.2,0.503,20.1,0.784,10.6,34.0,23.3,8.0,4.1,14.2,20.0,108.3,12.5,0.6809999999999999,0.295,0.179,0.099,0.109,0.319,0.54,0.667,0.475,0.441,0.396,0.36200000000000004,0.8759999999999999,0.233,0.39899999999999997,New Orleans Pelicans*,13.3,.667,.278,.155,.109,.125,.333,.503,.650,.410,.399,.385,.355,.833,.201,.379,27.6,48.0,34.0,44,38,1.3,109.6,108.3,1.3,100.5,0.237,0.319,0.573,0.541,20.0,0.183,0.513,76.7,0.175,673920,16437,1,Mid-Tier
3,Toronto Raptors*,19830,33.6,0.358,55.5,0.541,22.2,0.794,9.9,34.9,24.8,7.8,6.2,13.6,22.2,113.8,Toronto Raptors*,19830,25.4,0.35700000000000004,61.8,0.486,24.1,0.767,10.0,33.2,22.2,7.3,5.0,14.6,20.3,105.9,13.2,0.623,0.29100000000000004,0.16,0.098,0.07400000000000001,0.377,0.541,0.6809999999999999,0.414,0.428,0.419,0.358,0.816,0.243,0.396,Toronto Raptors*,12.2,.708,.298,.177,.121,.112,.292,.486,.617,.359,.432,.401,.357,.813,.196,.363,25.8,59.0,23.0,60,22,7.78,113.8,105.9,7.9,97.4,0.25,0.377,0.575,0.539,23.0,0.198,0.501,77.7,0.212,813431,19840,1,Contender
4,Cleveland Cavaliers*,19730,32.7,0.37200000000000005,53.6,0.54,23.7,0.779,8.6,34.3,23.8,7.2,3.9,14.0,18.9,112.9,Cleveland Cavaliers*,19730,32.2,0.368,57.6,0.5329999999999999,19.7,0.7559999999999999,10.1,34.3,26.3,7.6,4.2,13.7,21.1,111.9,13.8,0.621,0.297,0.113,0.092,0.11900000000000001,0.379,0.54,0.706,0.368,0.413,0.387,0.37200000000000005,0.8190000000000001,0.252,0.41700000000000004,Cleveland Cavaliers*,13.4,.641,.299,.132,.104,.107,.359,.533,.672,.399,.429,.409,.368,.832,.213,.446,30.6,50.0,32.0,43,39,0.94,112.9,111.9,1.0,98.0,0.275,0.379,0.584,0.547,20.1,0.214,0.54,77.3,0.166,843042,20562,1,Contender
5,Denver Nuggets,19880,31.6,0.371,56.9,0.525,22.8,0.767,11.2,34.3,25.7,7.8,5.0,15.3,19.1,112.5,Denver Nuggets,19880,29.5,0.37799999999999995,59.2,0.525,20.8,0.738,10.0,32.6,25.3,8.2,4.9,14.1,21.2,111.0,12.8,0.643,0.275,0.204,0.09,0.07400000000000001,0.35700000000000004,0.525,0.664,0.424,0.441,0.391,0.371,0.848,0.16699999999999998,0.41700000000000004,Denver Nuggets,12.8,.668,.268,.191,.101,.108,.332,.525,.682,.412,.450,.407,.378,.835,.247,.390,25.1,46.0,36.0,45,37,1.48,112.5,111.0,1.5,96.8,0.258,0.35700000000000004,0.57,0.536,25.7,0.198,0.539,77.5,0.17300000000000001,702796,17141,0,Mid-Tier
6,Philadelphia 76ers*,19780,29.7,0.369,56.6,0.526,22.7,0.752,10.9,36.4,27.0,8.3,5.1,16.4,22.0,109.5,Philadelphia 76ers*,19780,29.5,0.342,57.8,0.48200000000000004,25.6,0.745,9.9,32.1,21.7,8.5,5.1,14.3,20.3,105.0,13.3,0.6559999999999999,0.272,0.168,0.109,0.107,0.344,0.526,0.7020000000000001,0.401,0.38299999999999995,0.42100000000000004,0.369,0.9540000000000001,0.151,0.397,Philadelphia 76ers*,13.6,.662,.239,.176,.119,.128,.338,.482,.661,.357,.408,.387,.342,.807,.187,.385,25.8,52.0,30.0,53,29,4.5,109.5,105.0,4.5,99.8,0.263,0.344,0.568,0.535,25.3,0.198,0.49200000000000005,78.6,0.218,833503,20361,1,Contender
7,Minnesota Timberwolves*,19805,23.3,0.35700000000000004,65.9,0.519,25.0,0.804,10.7,32.7,23.5,8.7,4.4,12.9,18.9,113.4,Minnesota Timberwolves*,19805,30.7,0.366,56.9,0.534,21.2,0.779,10.1,33.2,24.8,6.7,4.8,15.6,21.6,111.1,12.3,0.7390000000000001,0.264,0.196,0.129,0.15,0.261,0.519,0.69,0.433,0.43200000000000005,0.40299999999999997,0.35700000000000004,0.825,0.226,0.40299999999999997,Minnesota Timberwolves*,13.1,.650,.297,.141,.095,.116,.350,.534,.690,.393,.404,.416,.366,.840,.228,.374,27.1,47.0,35.0,47,35,2.23,113.4,111.1,2.3,96.0,0.28,0.261,0.5660000000000001,0.523,24.4,0.225,0.539,76.4,0.18899999999999997,699308,17056,1,Mid-Tier
8,Los Angeles Clippers,19705,27.1,0.354,59.3,0.525,25.8,0.743,10.3,34.1,22.6,7.7,4.6,14.9,20.2,110.3,Los Angeles Clippers,19705,30.6,0.35600000000000004,58.2,0.512,23.0,0.782,10.7,33.4,24.9,8.6,5.7,14.2,22.2,110.2,11.8,0.6859999999999999,0.34700000000000003,0.16399999999999998,0.083,0.091,0.314,0.525,0.659,0.37799999999999995,0.424,0.37799999999999995,0.354,0.726,0.21899999999999997,0.33799999999999997,Los Angeles Clippers,13.4,.656,.279,.139,.109,.128,.344,.512,.658,.391,.424,.403,.356,.806,.233,.387,27.0,42.0,40.0,41,41,0.04,110.3,110.2,0.1,98.7,0.299,0.314,0.564,0.527,23.5,0.222,0.52,76.1,0.203,697812,17020,0,Mid-Tier
9,Charlotte Hornets,19780,27.5,0.369,60.1,0.48700000000000004,27.3,0.747,10.2,35.8,21.8,6.9,4.6,12.8,17.4,109.4,Charlotte Hornets,19780,30.4,0.375,58.3,0.516,18.4,0.795,8.5,35.6,25.0,6.7,5.0,13.7,22.7,109.1,13.2,0.6859999999999999,0.273,0.16,0.114,0.138,0.314,0.48700000000000004,0.642,0.38,0.408,0.37,0.369,0.7559999999999999,0.154,0.369,Charlotte Hornets,13.7,.657,.262,.144,.116,.134,.343,.516,.683,.395,.436,.393,.375,.853,.194,.418,26.6,36.0,46.0,42,40,0.26,109.4,109.1,0.3,98.4,0.312,0.314,0.5489999999999999,0.508,22.2,0.233,0.532,80.7,0.165,671404,16376,0,Rebuilding
