,0,1,2,3,4,5,6,Team,0,3PAr,FTr,Pace,principal component 1,principal component 2,Cluster
0,0,1,1,2,3,2,1,ATL,ATL,0.363,0.236,98.3,0.019648282573569112,-0.5998771581496608,1
1,2,0,2,2,1,0,3,BOS,BOS,0.35700000000000004,0.243,96.0,0.09503118841981957,2.2623691822668444,0
2,1,0,0,3,2,2,2,CHI,CHI,0.35,0.21600000000000005,98.3,0.3294118343191228,0.11075068848364124,1
3,2,2,1,2,2,1,0,CLE,CLE,0.379,0.275,98.0,1.6819538332618162,-1.127379916083763,5
4,0,1,1,3,2,1,2,DAL,DAL,0.382,0.217,95.6,-0.7393970706109486,-0.15415743777824806,1
5,1,1,0,3,3,0,2,DEN,DEN,0.35700000000000004,0.258,96.8,-0.643674715934115,-0.2025587320415175,1
6,4,2,2,0,1,1,0,DET,DET,0.333,0.227,96.2,1.69160101898974,0.09134982601721603,5
7,1,0,3,0,3,0,3,GSW,GSW,0.339,0.239,99.6,-0.869773460229199,3.38258887810719,0
8,4,1,0,1,1,2,1,HOU,HOU,0.502,0.298,97.6,4.733806623382395,0.17146500029756973,3
9,1,1,1,1,4,0,2,IND,IND,0.284,0.222,96.0,-2.3162700390512594,0.5396356338450597,2
10,0,2,3,2,3,0,0,LAC,LAC,0.314,0.299,98.7,-0.3623684672441982,-0.6155630616964812,1
11,2,0,4,1,0,0,3,LAL,LAL,0.329,0.264,100.3,1.1500861084428675,3.8619958820895803,0
12,0,1,3,2,3,0,1,MEM,MEM,0.317,0.255,94.9,-1.6954123276519064,0.1448179843077275,2
13,1,1,3,1,2,0,2,MIA,MIA,0.358,0.229,95.6,-0.8485047660554231,1.5947041975795513,0
14,2,1,1,2,2,1,1,MIL,MIL,0.297,0.281,96.2,0.5770123139779829,-0.503386245389254,1
15,2,1,1,3,2,1,0,MIN,MIN,0.261,0.28,96.0,0.35599483891841177,-1.519704108176743,4
16,1,3,1,1,2,1,1,NOP,NOP,0.319,0.237,100.5,0.4193991324032261,-0.5717247698295624,1
17,1,3,1,1,2,2,0,NYK,NYK,0.266,0.21600000000000005,96.8,-0.2310733117782563,-2.051453890455588,4
18,3,1,1,4,0,1,0,OKC,OKC,0.345,0.275,96.7,2.41492873407516,-1.1532433559448199,5
19,1,1,1,1,4,1,1,ORL,ORL,0.342,0.238,98.1,-0.604822479306775,0.006567488032236121,1
20,1,1,1,1,3,1,2,PHI,PHI,0.344,0.263,99.8,0.2639220343066617,0.8326104050882301,1
21,0,2,1,3,4,0,0,POR,POR,0.324,0.24,96.5,-1.7869158514744792,-1.828642393899806,4
22,2,1,1,1,3,0,2,SAC,SAC,0.278,0.194,94.9,-2.0406371865095285,0.728176431266282,2
23,0,1,1,3,3,0,2,SAS,SAS,0.282,0.245,95.0,-2.2506242142074524,-0.3733774298199706,2
24,2,2,4,2,0,0,0,TOR,TOR,0.377,0.25,97.4,1.4733699080713862,0.5261278379031838,5
25,0,3,2,2,3,0,0,UTA,UTA,0.35700000000000004,0.26,95.7,-0.9059932667072308,-1.6662010577740025,4
26,1,2,1,3,2,1,0,WAS,WAS,0.31,0.254,96.6,0.08930130561861598,-1.8858898782448925,4
