,Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,O4F_eFG%,O4F_TOV%,O4F_DRB%,O4F_FT/FGA,D4F_eFG%,D4F_TOV%,D4F_DRB%,D4F_FT/FGA,Arena,Attend.,Attend./G,Playoffs,Team_year,Year,Abrv
0,1.0,Golden State Warriors,27.4,73.0,9.0,65,17,10.76,-0.38,10.38,114.5,103.8,10.7,99.3,0.25,0.36200000000000004,0.593,0.563,13.5,23.5,0.191,0.479,12.6,76.0,0.20800000000000002,Oracle Arena,803436,19596,1,Golden State Warriors/2016,2016,GSW
1,1.0,Golden State Warriors,28.2,67.0,15.0,67,15,11.63,-0.28,11.35,115.6,104.0,11.6,99.8,0.259,0.359,0.597,0.563,13.2,22.8,0.204,0.486,13.5,74.9,0.198,Oracle Arena,803436,19596,1,Golden State Warriors/2017,2017,GSW
2,3.0,Golden State Warriors,28.8,58.0,24.0,56,26,5.98,-0.19,5.79,113.6,107.6,6.0,99.6,0.239,0.33899999999999997,0.603,0.569,14.1,21.0,0.195,0.504,12.6,76.3,0.18600000000000003,Oracle Arena,803436,19596,1,Golden State Warriors/2018,2018,GSW
3,2.0,San Antonio Spurs,30.3,67.0,15.0,67,15,10.63,-0.36,10.28,110.3,99.0,11.3,93.8,0.24600000000000002,0.223,0.564,0.526,12.4,23.0,0.19699999999999998,0.47700000000000004,14.1,79.1,0.182,AT&T Center,756445,18450,1,San Antonio Spurs/2016,2016,SAS
4,2.0,San Antonio Spurs,29.6,61.0,21.0,60,22,7.2,-0.06,7.13,111.1,103.5,7.6,94.2,0.263,0.281,0.564,0.524,12.6,24.0,0.21,0.49200000000000005,13.5,77.6,0.192,AT&T Center,755347,18423,1,San Antonio Spurs/2017,2017,SAS
5,8.0,San Antonio Spurs,29.3,47.0,35.0,49,33,2.89,0.0,2.89,107.9,104.8,3.1,95.0,0.245,0.282,0.5429999999999999,0.507,12.2,23.7,0.18899999999999997,0.507,13.2,78.6,0.17,AT&T Center,754562,18404,1,San Antonio Spurs/2018,2018,SAS
6,3.0,Oklahoma City Thunder,25.8,55.0,27.0,59,23,7.28,-0.19,7.09,113.1,105.6,7.5,96.7,0.292,0.275,0.565,0.524,14.0,31.1,0.228,0.484,11.7,76.0,0.205,Chesapeake Energy Arena,746323,18203,1,Oklahoma City Thunder/2016,2016,OKC
7,10.0,Oklahoma City Thunder,24.7,47.0,35.0,43,39,0.76,0.39,1.14,108.3,107.5,0.8,97.8,0.295,0.295,0.54,0.5,13.2,27.9,0.22,0.511,12.5,79.0,0.218,Chesapeake Energy Arena,746323,18203,1,Oklahoma City Thunder/2017,2017,OKC
8,6.0,Oklahoma City Thunder,27.3,48.0,34.0,50,32,3.41,0.0,3.42,110.7,107.2,3.5,96.7,0.275,0.345,0.546,0.514,12.4,27.7,0.19699999999999998,0.525,14.7,77.4,0.193,Chesapeake Energy Arena,746322,18203,1,Oklahoma City Thunder/2018,2018,OKC
9,4.0,Cleveland Cavaliers,28.1,57.0,25.0,57,25,6.0,-0.55,5.45,110.9,104.5,6.4,93.3,0.259,0.35200000000000004,0.5579999999999999,0.524,12.7,25.1,0.19399999999999998,0.496,12.6,78.5,0.205,Quicken Loans Arena,843042,20562,1,Cleveland Cavaliers/2016,2016,CLE
10,7.0,Cleveland Cavaliers,29.2,51.0,31.0,49,33,3.18,-0.31,2.87,113.6,110.3,3.3,96.2,0.275,0.39899999999999997,0.58,0.547,12.6,21.9,0.20600000000000002,0.516,11.4,75.8,0.174,Quicken Loans Arena,843042,20562,1,Cleveland Cavaliers/2017,2017,CLE
11,14.0,Cleveland Cavaliers,30.6,50.0,32.0,43,39,0.94,-0.35,0.59,112.9,111.9,1.0,98.0,0.275,0.379,0.584,0.547,12.6,20.1,0.214,0.54,12.2,77.3,0.166,Quicken Loans Arena,843042,20562,1,Cleveland Cavaliers/2018,2018,CLE
12,5.0,Los Angeles Clippers,29.7,53.0,29.0,53,29,4.28,-0.15,4.13,108.3,103.8,4.5,95.8,0.318,0.324,0.556,0.524,12.1,20.1,0.22,0.48,13.8,73.8,0.222,STAPLES Center,786910,19193,1,Los Angeles Clippers/2016,2016,LAC
13,4.0,Los Angeles Clippers,30.0,51.0,31.0,52,30,4.29,0.13,4.42,112.7,108.2,4.5,96.1,0.312,0.32899999999999996,0.574,0.537,12.0,21.5,0.233,0.506,12.1,76.9,0.21100000000000002,STAPLES Center,782609,19088,1,Los Angeles Clippers/2017,2017,LAC
14,16.0,Los Angeles Clippers,27.0,42.0,40.0,41,41,0.04,0.11,0.15,110.3,110.2,0.1,98.7,0.299,0.314,0.564,0.527,13.2,23.5,0.222,0.52,12.6,76.1,0.203,STAPLES Center,697812,17020,0,Los Angeles Clippers/2018,2018,LAC
15,6.0,Toronto Raptors,26.3,56.0,26.0,53,29,4.5,-0.42,4.08,110.0,105.2,4.8,92.9,0.32799999999999996,0.287,0.552,0.504,12.3,24.6,0.255,0.498,12.7,77.7,0.201,Air Canada Centre,812863,19826,1,Toronto Raptors/2016,2016,TOR
16,6.0,Toronto Raptors,26.1,51.0,31.0,52,30,4.21,-0.56,3.65,112.3,107.8,4.5,94.7,0.293,0.289,0.561,0.517,11.8,25.0,0.233,0.507,13.5,76.3,0.223,Air Canada Centre,813050,19830,1,Toronto Raptors/2017,2017,TOR
17,2.0,Toronto Raptors,25.8,59.0,23.0,60,22,7.78,-0.49,7.29,113.8,105.9,7.9,97.4,0.25,0.377,0.575,0.539,12.1,23.0,0.198,0.501,13.0,77.7,0.212,Air Canada Centre,813431,19840,1,Toronto Raptors/2018,2018,TOR
18,7.0,Atlanta Hawks,28.2,48.0,34.0,51,31,3.61,-0.12,3.49,105.1,101.4,3.7,97.1,0.237,0.336,0.552,0.516,13.8,19.1,0.185,0.48,14.4,74.6,0.19399999999999998,Philips Arena,690150,16833,1,Atlanta Hawks/2016,2016,ATL
19,20.0,Atlanta Hawks,27.9,43.0,39.0,39,43,-0.85,-0.38,-1.23,104.9,105.7,-0.8,97.4,0.295,0.309,0.541,0.504,14.2,23.6,0.215,0.507,13.8,76.1,0.179,Philips Arena,654306,15959,1,Atlanta Hawks/2017,2017,ATL
20,26.0,Atlanta Hawks,25.4,24.0,58.0,27,55,-5.45,0.15,-5.3,105.0,110.6,-5.6,98.3,0.23600000000000002,0.363,0.547,0.512,14.1,21.1,0.185,0.536,13.6,76.2,0.183,Philips Arena,590769,14409,0,Atlanta Hawks/2018,2018,ATL
21,8.0,Boston Celtics,25.2,48.0,34.0,50,32,3.21,-0.37,2.84,106.8,103.6,3.2,98.5,0.264,0.293,0.531,0.488,12.1,25.1,0.20800000000000002,0.48700000000000004,14.6,74.6,0.231,TD Garden,749076,18270,1,Boston Celtics/2016,2016,BOS
22,8.0,Boston Celtics,25.9,53.0,29.0,48,34,2.63,-0.39,2.25,111.2,108.4,2.8,96.8,0.273,0.39299999999999996,0.5670000000000001,0.525,12.2,21.2,0.22,0.503,12.6,75.3,0.223,TD Garden,760690,18553,1,Boston Celtics/2017,2017,BOS
23,7.0,Boston Celtics,24.7,55.0,27.0,51,31,3.59,-0.35,3.23,107.6,103.9,3.7,96.0,0.243,0.35700000000000004,0.552,0.518,13.0,21.5,0.188,0.495,13.0,78.4,0.191,TD Garden,763584,18624,1,Boston Celtics/2018,2018,BOS
24,9.0,Charlotte Hornets,26.0,48.0,34.0,49,33,2.72,-0.36,2.36,107.1,104.3,2.8,95.7,0.28,0.348,0.545,0.502,11.7,20.0,0.222,0.496,12.5,79.8,0.191,Time Warner Cable Arena,716894,17485,1,Charlotte Hornets/2016,2016,CHA
25,15.0,Charlotte Hornets,26.5,36.0,46.0,42,40,0.2,-0.26,-0.07,108.8,108.6,0.2,95.7,0.27899999999999997,0.335,0.547,0.501,10.7,19.9,0.22699999999999998,0.523,12.1,79.6,0.16399999999999998,Spectrum Center,710643,17333,0,Charlotte Hornets/2017,2017,CHA
26,18.0,Charlotte Hornets,26.6,36.0,46.0,42,40,0.26,-0.19,0.07,109.4,109.1,0.3,98.4,0.312,0.314,0.5489999999999999,0.508,11.4,22.2,0.233,0.532,12.4,80.7,0.165,Spectrum Center,671404,16376,0,Charlotte Hornets/2018,2018,CHA
27,10.0,Utah Jazz,24.2,40.0,42.0,46,36,1.79,0.05,1.84,105.9,103.9,2.0,91.0,0.28600000000000003,0.297,0.54,0.501,14.2,25.9,0.213,0.495,13.5,77.7,0.21,Vivint Smart Home Arena,791489,19305,0,Utah Jazz/2016,2016,UTA
28,5.0,Utah Jazz,26.8,51.0,31.0,52,30,3.94,0.06,4.0,109.6,105.3,4.3,91.6,0.28800000000000003,0.327,0.563,0.526,13.2,23.2,0.215,0.493,11.8,78.9,0.195,Vivint Smart Home Arena,806142,19662,1,Utah Jazz/2017,2017,UTA
29,4.0,Utah Jazz,26.7,48.0,34.0,53,29,4.3,0.17,4.47,108.4,103.9,4.5,95.7,0.26,0.35700000000000004,0.564,0.527,13.7,21.5,0.20199999999999999,0.506,14.0,79.8,0.19,Vivint Smart Home Arena,734806,17922,1,Utah Jazz/2018,2018,UTA
30,11.0,Indiana Pacers,26.9,45.0,37.0,46,36,1.71,-0.09,1.62,104.6,102.9,1.7,96.6,0.268,0.27,0.536,0.49700000000000005,13.5,23.4,0.205,0.489,14.3,76.0,0.205,Bankers Life Fieldhouse,690733,16847,1,Indiana Pacers/2016,2016,IND
31,18.0,Indiana Pacers,27.0,42.0,40.0,40,42,-0.22,-0.42,-0.64,108.6,108.8,-0.2,95.9,0.261,0.272,0.5579999999999999,0.516,12.8,21.2,0.212,0.512,13.6,75.5,0.225,Bankers Life Fieldhouse,684578,16697,1,Indiana Pacers/2017,2017,IND
32,13.0,Indiana Pacers,26.2,48.0,34.0,45,37,1.38,-0.2,1.18,109.5,108.1,1.4,96.0,0.222,0.284,0.557,0.525,12.3,22.7,0.17300000000000001,0.527,14.2,76.2,0.174,Bankers Life Fieldhouse,658119,16052,1,Indiana Pacers/2018,2018,IND
33,12.0,Miami Heat,28.4,48.0,34.0,46,36,1.65,-0.14,1.5,106.1,104.4,1.7,93.6,0.282,0.221,0.545,0.508,13.3,23.8,0.21,0.485,12.1,77.8,0.196,AmericanAirlines Arena,809350,19740,1,Miami Heat/2016,2016,MIA
34,12.0,Miami Heat,26.5,41.0,41.0,44,38,1.06,-0.29,0.77,107.8,106.7,1.1,95.2,0.251,0.314,0.541,0.512,12.4,24.2,0.177,0.496,12.6,76.4,0.22,AmericanAirlines Arena,805400,19644,0,Miami Heat/2017,2017,MIA
35,17.0,Miami Heat,26.5,44.0,38.0,42,40,0.48,-0.33,0.15,106.8,106.3,0.5,95.6,0.22899999999999998,0.358,0.551,0.52,13.3,21.5,0.17300000000000001,0.507,13.1,79.0,0.215,AmericanAirlines Arena,804850,19630,1,Miami Heat/2018,2018,MIA
36,13.0,Portland Trail Blazers,24.3,44.0,38.0,43,39,0.83,0.15,0.98,108.8,108.0,0.8,96.0,0.268,0.332,0.5479999999999999,0.511,13.2,25.9,0.20199999999999999,0.503,12.1,76.2,0.225,Moda Center,794085,19368,1,Portland Trail Blazers/2016,2016,POR
37,16.0,Portland Trail Blazers,24.8,41.0,41.0,40,42,-0.52,0.3,-0.23,110.3,110.8,-0.5,96.7,0.275,0.322,0.5589999999999999,0.52,12.5,23.0,0.214,0.508,11.6,76.8,0.24100000000000002,Moda Center,792029,19318,1,Portland Trail Blazers/2017,2017,POR
38,9.0,Portland Trail Blazers,25.6,49.0,33.0,48,34,2.6,0.0,2.6,109.1,106.4,2.7,96.5,0.24,0.324,0.5489999999999999,0.511,12.3,23.3,0.192,0.503,11.7,79.1,0.193,Moda Center,795750,19409,1,Portland Trail Blazers/2018,2018,POR
